,county,date,month,2.9%tax,year,total_revenue
97,Montezuma,2-01-2014,2,2651,2014,91413.7931034
98,Pitkin,2-01-2014,2,2398,2014,82689.6551724
99,Pueblo,2-01-2014,2,14683,2014,506310.344828
100,Routt,2-01-2014,2,9018,2014,310965.517241
101,San Miguel,2-01-2014,2,5016,2014,172965.517241
102,Summit,2-01-2014,2,9343,2014,322172.413793
103,Weld,2-01-2014,2,20383,2014,702862.068966
104,Other Counties,2-01-2014,2,16668,2014,574758.62069
105,Adams,2-01-2015,2,15962,2015,550413.793103
106,Arapahoe,2-01-2015,2,25790,2015,889310.344828
107,Boulder,2-01-2015,2,68817,2015,2373000.0
108,Clear Creek,2-01-2015,2,2273,2015,78379.3103448
109,Denver,2-01-2015,2,358208,2015,12352000.0
110,Eagle,2-01-2015,2,7839,2015,270310.344828
111,El Paso,2-01-2015,2,166821,2015,5752448.27586
112,Fremont,2-01-2015,2,4350,2015,150000.0
113,Garfield,2-01-2015,2,9913,2015,341827.586207
114,Gilpin,2-01-2015,2,839,2015,28931.0344828
115,Jefferson,2-01-2015,2,45154,2015,1557034.48276
116,La Plata,2-01-2015,2,24576,2015,847448.275862
117,Larimer,2-01-2015,2,32718,2015,1128206.89655
118,Montezuma,2-01-2015,2,2668,2015,92000.0
119,Pitkin,2-01-2015,2,2594,2015,89448.2758621
120,Pueblo,2-01-2015,2,9870,2015,340344.827586
121,San Miguel,2-01-2015,2,1039,2015,35827.5862069
122,Summit,2-01-2015,2,8650,2015,298275.862069
123,Weld,2-01-2015,2,10221,2015,352448.275862
124,Other Counties,2-01-2015,2,22334,2015,770137.931034
125,Adams,2-01-2016,2,12248,2016,422344.827586
126,Arapahoe,2-01-2016,2,47138,2016,1625448.27586
127,Boulder,2-01-2016,2,71056,2016,2450206.89655
128,Clear Creek,2-01-2016,2,3720,2016,128275.862069
129,Denver,2-01-2016,2,456044,2016,15725655.1724
130,Eagle,2-01-2016,2,8036,2016,277103.448276
131,El Paso,2-01-2016,2,196527,2016,6776793.10345
132,Garfield,2-01-2016,2,8715,2016,300517.241379
133,Jefferson,2-01-2016,2,42654,2016,1470827.58621
134,La Plata,2-01-2016,2,10103,2016,348379.310345
135,Larimer,2-01-2016,2,31192,2016,1075586.2069
136,Montezuma,2-01-2016,2,2883,2016,99413.7931034
